data_level,dname,grade,subject,group,year_data,year_created,d,nm,rm
district,STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,3,read,all,2025,2025,44,39,0.89
district,CHIRENO ISD,3,read,all,2025,2025,19,7,0.37
district,CUSHING ISD,3,read,all,2025,2025,35,19,0.54
district,GARRISON ISD,3,read,all,2025,2025,55,41,0.75
district,NACOGDOCHES ISD,3,read,all,2025,2025,397,121,0.3
district,WODEN ISD,3,read,all,2025,2025,71,22,0.31
district,CENTRAL HEIGHTS ISD,3,read,all,2025,2025,62,43,0.69
district,MARTINSVILLE ISD,3,read,all,2025,2025,22,12,0.55
district,DOUGLASS ISD,3,read,all,2025,2025,34,22,0.65
district,BLOOMING GROVE ISD,3,read,all,2025,2025,71,20,0.28
district,CORSICANA ISD,3,read,all,2025,2025,447,122,0.27
district,DAWSON ISD,3,read,all,2025,2025,32,16,0.5
district,FROST ISD,3,read,all,2025,2025,30,12,0.4
district,KERENS ISD,3,read,all,2025,2025,38,19,0.5
district,MILDRED ISD,3,read,all,2025,2025,73,48,0.66
district,RICE ISD,3,read,all,2025,2025,86,42,0.49
district,BURKEVILLE ISD,3,read,all,2025,2025,18,10,0.56
district,NEWTON ISD,3,read,all,2025,2025,79,20,0.25
district,DEWEYVILLE ISD,3,read,all,2025,2025,40,14,0.35
district,ROSCOE COLLEGIATE ISD,3,read,all,2025,2025,1063,222,0.21
district,SWEETWATER ISD,3,read,all,2025,2025,114,26,0.23
district,BLACKWELL CISD,3,read,all,2025,2025,11,6,0.55
district,HIGHLAND ISD,3,read,all,2025,2025,18,11,0.61
district,DR M L GARZA-GONZALEZ CHARTER SCHOOL,3,read,all,2025,2025,23,4,0.17
district,CORPUS CHRISTI MONTESSORI SCHOOL,3,read,all,2025,2025,19,6,0.32
district,SEASHORE CHARTER SCHOOLS,3,read,all,2025,2025,56,32,0.57
district,AGUA DULCE ISD,3,read,all,2025,2025,31,11,0.35
district,BISHOP CISD,3,read,all,2025,2025,93,60,0.65
district,CALALLEN ISD,3,read,all,2025,2025,290,169,0.58
district,CORPUS CHRISTI ISD,3,read,all,2025,2025,2350,1119,0.48
district,DRISCOLL ISD,3,read,all,2025,2025,24,16,0.67
district,LONDON ISD,3,read,all,2025,2025,116,61,0.53
district,PORT ARANSAS ISD,3,read,all,2025,2025,34,21,0.62
district,ROBSTOWN ISD,3,read,all,2025,2025,173,34,0.2
district,TULOSO-MIDWAY ISD,3,read,all,2025,2025,297,102,0.34
district,BANQUETE ISD,3,read,all,2025,2025,56,14,0.25
district,FLOUR BLUFF ISD,3,read,all,2025,2025,367,177,0.48
district,WEST OSO ISD,3,read,all,2025,2025,127,41,0.32
district,PERRYTON ISD,3,read,all,2025,2025,150,70,0.47
district,BOYS RANCH ISD,3,read,all,2025,2025,0,0,
district,VEGA ISD,3,read,all,2025,2025,27,17,0.63
district,ADRIAN ISD,3,read,all,2025,2025,7,2,0.29
district,WILDORADO ISD,3,read,all,2025,2025,15,6,0.4
district,BRIDGE CITY ISD,3,read,all,2025,2025,226,108,0.48
district,ORANGEFIELD ISD,3,read,all,2025,2025,135,73,0.54
district,WEST ORANGE-COVE CISD,3,read,all,2025,2025,181,42,0.23
district,VIDOR ISD,3,read,all,2025,2025,329,124,0.38
district,LITTLE CYPRESS-MAURICEVILLE CISD,3,read,all,2025,2025,258,89,0.34
district,GORDON ISD,3,read,all,2025,2025,15,13,0.87
district,GRAFORD ISD,3,read,all,2025,2025,19,14,0.74
district,MINERAL WELLS ISD,3,read,all,2025,2025,243,102,0.42
district,SANTO ISD,3,read,all,2025,2025,46,37,0.8
district,STRAWN ISD,3,read,all,2025,2025,10,0,0
district,PALO PINTO ISD,3,read,all,2025,2025,18,16,0.89
district,BECKVILLE ISD,3,read,all,2025,2025,49,26,0.53
district,CARTHAGE ISD,3,read,all,2025,2025,206,104,0.5
district,GARY ISD,3,read,all,2025,2025,36,15,0.42
district,POOLVILLE ISD,3,read,all,2025,2025,54,22,0.41
district,SPRINGTOWN ISD,3,read,all,2025,2025,287,114,0.4
district,WEATHERFORD ISD,3,read,all,2025,2025,609,296,0.49
district,MILLSAP ISD,3,read,all,2025,2025,83,29,0.35
district,ALEDO ISD,3,read,all,2025,2025,620,463,0.75
